Name,University,Major,Graduation Year,Skills,Achievements,Experience,Email ID
Charlie Williams,Georgia Tech,Cybersecurity,2026,"TensorFlow, HTML, Ansible, Java, Blockchain, Computer Vision, Python","Hackathon Winner, Hackathon Finalist",Machine Learning Intern at Meta,charliewilliamsZWMOP@gmail.comEmail ID
Cameron Moore,Purdue University,Electrical Engineering,2028,"Linux, Docker Swarm, CSS, Ansible, Docker, Deep Learning","Internship at FAANG, Tech Blog Contributor, Robotics Competition Winner","Teaching Assistant for CS courses, Intern at Tesla (Autopilot team)",cameronmooreQLDQG@gmail.comEmail ID
Taylor Thomas,University of Washington,Artificial Intelligence,2025,"NLP, GraphQL, Scala, Machine Learning, TensorFlow, Java","Hackathon Finalist, Best Thesis Award, Patent Holder","Cloud Engineer Intern at IBM, Teaching Assistant for CS courses",taylorthomasVFIFI@gmail.comEmail ID
Riley Miller,MIT,Electrical Engineering,2025,"Docker, Cybersecurity, SQL, Ansible, HTML","Winner of AI Challenge, Hackathon Finalist, Tech Blog Contributor","Startup Co-Founder (Tech Product), Cloud Engineer Intern at IBM",rileymillerBAUNX@gmail.comEmail ID
Jamie Anderson,Carnegie Mellon University,Bioinformatics,2027,"Node.js, Cloud Computing, Data Analysis, Python, Rust","Open Source Contributor, Tech Blog Contributor, Dean's List","Data Analyst Intern at Oracle, AI Research Intern at OpenAI",jamieandersonMWVSA@gmail.comEmail ID
Sam Lee,University of Illinois Urbana-Champaign,Robotics,2026,"Docker, TensorFlow, Kubernetes, Blockchain, C++","Dean's List, Conference Speaker, Published Research Paper",Software Developer Intern at Adobe,samleeXROVF@gmail.comEmail ID
Logan Davis,University of Washington,Electrical Engineering,2030,"Cloud Computing, Node.js, Docker, TensorFlow","Scholarship Recipient, Hackathon Winner, Coding Competition Winner","Software Engineering Intern at Google, Startup Co-Founder (Tech Product)",logandavisEUJVW@gmail.comEmail ID
Peyton Walker,UCLA,Electrical Engineering,2026,"AWS, React, Linux, NLP, Rust","Hackathon Winner, Published Research Paper, Coding Competition Winner",Data Analyst Intern at Oracle,peytonwalkerNNGLY@gmail.comEmail ID
Jamie Harris,University of Illinois Urbana-Champaign,Electrical Engineering,2025,"Cloud Computing, TensorFlow, Linux, SQL","Startup Founder, Scholarship Recipient, Hackathon Finalist",Machine Learning Intern at Meta,jamieharrisQMCEC@gmail.comEmail ID
Avery Miller,Harvard University,Artificial Intelligence,2028,"Rust, Computer Vision, Docker Swarm, Machine Learning, Deep Learning","Hackathon Winner, Coding Competition Winner","Data Analyst Intern at Oracle, AI Research Intern at OpenAI",averymillerHIFPJ@gmail.comEmail ID
Taylor Thomas,UC Berkeley,Bioinformatics,2026,"React, Ansible, Docker Swarm, C++, Cloud Computing, Data Analysis, Computer Vision","Best Thesis Award, Hackathon Finalist, Patent Holder","Cloud Engineer Intern at IBM, Teaching Assistant for CS courses",taylorthomasNFNNR@gmail.comEmail ID
Taylor Williams,Purdue University,Mechanical Engineering,2028,"PyTorch, Kubernetes, Machine Learning, Cybersecurity, Go",Startup Founder,"Startup Co-Founder (Tech Product), Intern at SpaceX",taylorwilliamsOPEAW@gmail.comEmail ID
Casey White,Harvard University,Cybersecurity,2027,"Go, MATLAB, Rust, Machine Learning, Linux, HTML","Internship at FAANG, Startup Founder, Open Source Contributor",Full Stack Intern at Shopify,caseywhiteTQRZC@gmail.comEmail ID
Avery Anderson,Princeton University,Information Systems,2028,"React, Kubernetes, JavaScript, Cybersecurity, Deep Learning, AWS",Hackathon Winner,"Intern at SpaceX, Startup Co-Founder (Tech Product)",averyandersonNLCTT@gmail.comEmail ID
Skyler Anderson,University of Michigan,Robotics,2030,"Docker, Data Analysis, React, Linux",Tech Blog Contributor,AI Research Intern at OpenAI,skylerandersonNJBDA@gmail.comEmail ID
Taylor Walker,University of Michigan,Artificial Intelligence,2028,"Cloud Computing, HTML, NLP, Cybersecurity","Hackathon Finalist, Best Thesis Award","Software Developer Intern at Adobe, Cybersecurity Intern at Microsoft",taylorwalkerKQVYZ@gmail.comEmail ID
Drew Thomas,Carnegie Mellon University,Bioinformatics,2029,"Data Analysis, Machine Learning, Deep Learning, PyTorch, HTML, Computer Vision, JavaScript","Innovation Grant Recipient, Hackathon Finalist",AI Research Intern at OpenAI,drewthomasSVUCW@gmail.comEmail ID
Hayden Thomas,Cornell University,Bioinformatics,2025,"Cloud Computing, Ansible, JavaScript, HTML, Docker, SQL",Internship at FAANG,"Teaching Assistant for CS courses, Intern at Tesla (Autopilot team)",haydenthomasKINRM@gmail.comEmail ID
Kendall Williams,University of Michigan,Artificial Intelligence,2028,"Cloud Computing, Data Analysis, SQL, Blockchain, Go, MATLAB, Scala","Innovation Grant Recipient, Hackathon Winner, Dean's List","Startup Co-Founder (Tech Product), Full Stack Intern at Shopify",kendallwilliamsQAIAE@gmail.comEmail ID
Cameron Jackson,Purdue University,Computer Science,2029,"PyTorch, Go, Blockchain, Java, Linux, JavaScript, Deep Learning","Scholarship Recipient, Best Thesis Award","Research Assistant in AI Lab, Intern at SpaceX",cameronjacksonZDXBU@gmail.comEmail ID
Peyton Garcia,Carnegie Mellon University,Mechanical Engineering,2029,"PyTorch, AWS, Go, Scala, Machine Learning, Ansible",Tech Blog Contributor,Intern at SpaceX,peytongarciaBBCUO@gmail.comEmail ID
Cameron Lee,Purdue University,Artificial Intelligence,2026,"Cloud Computing, Go, React, Rust, Node.js, CSS, SQL","Published Research Paper, Hackathon Winner","AI Research Intern at OpenAI, Software Developer Intern at Adobe",cameronleeDYTSK@gmail.comEmail ID
Kendall Smith,UC Berkeley,Cybersecurity,2025,"Cybersecurity, Data Analysis, Python, TensorFlow, Deep Learning, Docker, Cloud Computing","Robotics Competition Winner, Coding Competition Winner, Published Research Paper",Data Analyst Intern at Oracle,kendallsmithUOHNX@gmail.comEmail ID
Kendall Brown,UCLA,Electrical Engineering,2027,"MATLAB, Go, Python, Docker Swarm, HTML","Tech Blog Contributor, Startup Founder, Scholarship Recipient",Cybersecurity Intern at Microsoft,kendallbrownHUQML@gmail.comEmail ID
Sam Anderson,University of Michigan,Bioinformatics,2029,"SQL, TensorFlow, Java, Go, JavaScript, Computer Vision, Machine Learning","Internship at FAANG, Hackathon Winner","Full Stack Intern at Shopify, Data Science Intern at Amazon",samandersonQKYMJ@gmail.comEmail ID
Blake Williams,Stanford University,Cybersecurity,2028,"C++, Cybersecurity, Blockchain, MATLAB",Hackathon Winner,"Software Developer Intern at Adobe, Data Science Intern at Amazon",blakewilliamsLASRS@gmail.comEmail ID
Alex Williams,Carnegie Mellon University,Software Engineering,2027,"Data Analysis, HTML, CSS, MATLAB, Go, SQL","Hackathon Winner, Scholarship Recipient",Intern at Tesla (Autopilot team),alexwilliamsWXCED@gmail.comEmail ID
Charlie Garcia,MIT,Computer Science,2027,"Docker Swarm, Node.js, Cloud Computing, PyTorch, Machine Learning, JavaScript, Kubernetes","Dean's List, Hackathon Finalist","Teaching Assistant for CS courses, AI Research Intern at OpenAI",charliegarciaQCJMG@gmail.comEmail ID
Riley Lee,Purdue University,Computer Science,2026,"NLP, SQL, HTML, Docker, Computer Vision, Ansible","Dean's List, Published Research Paper","Cybersecurity Intern at Microsoft, Teaching Assistant for CS courses",rileyleeOFKLH@gmail.comEmail ID
Sam Moore,Georgia Tech,Data Science,2029,"Node.js, TensorFlow, Cloud Computing, Rust, GraphQL","Published Research Paper, Conference Speaker",Intern at Tesla (Autopilot team),sammooreWZZSF@gmail.comEmail ID
Peyton Smith,University of Texas at Austin,Data Science,2029,"Blockchain, TensorFlow, MATLAB, Cybersecurity, GraphQL, Scala","Published Research Paper, Innovation Grant Recipient, Tech Blog Contributor",Data Science Intern at Amazon,peytonsmithZBJWX@gmail.comEmail ID
Hayden Moore,Carnegie Mellon University,Artificial Intelligence,2029,"Deep Learning, Python, GraphQL, Linux","Conference Speaker, Hackathon Winner",Data Science Intern at Amazon,haydenmooreYNKCB@gmail.comEmail ID
Casey Williams,Princeton University,Mechanical Engineering,2029,"PyTorch, GraphQL, Rust, CSS","Internship at FAANG, Patent Holder",Robotics Research Intern,caseywilliamsODNLQ@gmail.comEmail ID
Jordan Lee,Georgia Tech,Electrical Engineering,2030,"GraphQL, React, Docker, Cybersecurity","Innovation Grant Recipient, Patent Holder, Open Source Contributor",Software Engineering Intern at Google,jordanleeFLVAR@gmail.comEmail ID
Hayden Garcia,Princeton University,Data Science,2028,"React, C++, GraphQL, Cloud Computing, Node.js","Conference Speaker, Hackathon Winner, Hackathon Finalist",Robotics Research Intern,haydengarciaADJIY@gmail.comEmail ID
Skyler Lee,MIT,Electrical Engineering,2025,"HTML, PyTorch, Rust, GraphQL, Computer Vision, TensorFlow",Hackathon Finalist,Intern at Tesla (Autopilot team),skylerleeXULPW@gmail.comEmail ID
Riley Smith,University of Washington,Electrical Engineering,2025,"Machine Learning, HTML, Linux, MATLAB",Hackathon Winner,Cloud Engineer Intern at IBM,rileysmithCQKLU@gmail.comEmail ID
Hayden Lewis,Stanford University,Software Engineering,2029,"Data Analysis, Ansible, Kubernetes, CSS, Blockchain, Machine Learning","Patent Holder, Conference Speaker","Startup Co-Founder (Tech Product), Full Stack Intern at Shopify",haydenlewisOVJAX@gmail.comEmail ID
Casey Moore,Cornell University,Robotics,2027,"Docker Swarm, SQL, Rust, HTML, Cloud Computing, Python","Internship at FAANG, Dean's List, Tech Blog Contributor","Data Analyst Intern at Oracle, Full Stack Intern at Shopify",caseymooreFLKGE@gmail.comEmail ID
Morgan Hall,Stanford University,Artificial Intelligence,2030,"TensorFlow, SQL, MATLAB, Machine Learning, PyTorch, Node.js","Coding Competition Winner, Robotics Competition Winner","Cloud Engineer Intern at Salesforce, Intern at Tesla (Autopilot team)",morganhallAINYM@gmail.comEmail ID
Jordan Williams,Purdue University,Artificial Intelligence,2027,"NLP, Ansible, Python, CSS, Scala, Machine Learning, Go","Published Research Paper, Coding Competition Winner",Robotics Research Intern,jordanwilliamsGHZLL@gmail.comEmail ID
Drew Davis,Cornell University,Robotics,2030,"Kubernetes, Docker Swarm, Blockchain, Deep Learning, HTML, GraphQL, NLP","Scholarship Recipient, Startup Founder","Robotics Research Intern, Teaching Assistant for CS courses",drewdavisRWICT@gmail.comEmail ID
Charlie Garcia,University of Washington,Electrical Engineering,2027,"TensorFlow, Docker Swarm, Node.js, JavaScript, Computer Vision","Published Research Paper, Tech Blog Contributor","Cloud Engineer Intern at Salesforce, Data Science Intern at Amazon",charliegarciaVFJRS@gmail.comEmail ID
Casey Clark,Stanford University,Robotics,2029,"JavaScript, HTML, Ansible, Cloud Computing, Cybersecurity, AWS, C++",Published Research Paper,Cloud Engineer Intern at Salesforce,caseyclarkKOXBZ@gmail.comEmail ID
Quinn Hall,Cornell University,Electrical Engineering,2026,"Blockchain, Cybersecurity, NLP, Go, Python, Deep Learning",Internship at FAANG,Machine Learning Intern at Meta,quinnhallFSZLJ@gmail.comEmail ID
Drew Davis,Cornell University,Bioinformatics,2030,"C++, CSS, Rust, Java","Tech Blog Contributor, Published Research Paper",Cloud Engineer Intern at IBM,drewdavisZFYJL@gmail.comEmail ID
Alex Garcia,Cornell University,Mechanical Engineering,2025,"Ansible, Scala, GraphQL, MATLAB, SQL, Deep Learning","Tech Blog Contributor, Dean's List",Intern at SpaceX,alexgarciaTBQWH@gmail.comEmail ID
Avery Clark,Purdue University,Information Systems,2029,"TensorFlow, Data Analysis, PyTorch, Docker, Deep Learning, Cloud Computing",Internship at FAANG,Cloud Engineer Intern at Salesforce,averyclarkPRXAV@gmail.comEmail ID
Taylor White,University of Michigan,Cybersecurity,2026,"Docker, Blockchain, Python, Kubernetes, SQL",Conference Speaker,Machine Learning Intern at Meta,taylorwhiteMYGRU@gmail.comEmail ID
Cameron Taylor,Georgia Tech,Information Systems,2028,"Rust, Machine Learning, AWS, Docker Swarm, Docker, Node.js","Winner of AI Challenge, Dean's List, Conference Speaker",Machine Learning Intern at Meta,camerontaylorBSMTA@gmail.comEmail ID
Blake Davis,UC Berkeley,Information Systems,2029,"Deep Learning, Docker, Cloud Computing, AWS, Rust, Scala, MATLAB","Robotics Competition Winner, Hackathon Finalist, Hackathon Winner","Cybersecurity Intern at Microsoft, Cloud Engineer Intern at IBM",blakedavisLEBZV@gmail.comEmail ID
Cameron Jackson,University of Texas at Austin,Robotics,2027,"Docker Swarm, NLP, Python, Blockchain, JavaScript, Rust","Conference Speaker, Open Source Contributor","Full Stack Intern at Shopify, Software Engineering Intern at Google",cameronjacksonOTUFJ@gmail.comEmail ID
Logan Davis,UCLA,Robotics,2028,"Scala, Deep Learning, Kubernetes, Java","Hackathon Finalist, Internship at FAANG",Software Engineering Intern at Google,logandavisSALGY@gmail.comEmail ID
Kendall Lewis,Stanford University,Software Engineering,2025,"Go, Data Analysis, Python, AWS, CSS, Blockchain, GraphQL","Patent Holder, Conference Speaker","Cloud Engineer Intern at IBM, Robotics Research Intern",kendalllewisGGQJL@gmail.comEmail ID
Logan Clark,Purdue University,Computer Science,2029,"Docker, Scala, TensorFlow, Python","Published Research Paper, Robotics Competition Winner","Full Stack Intern at Shopify, Cloud Engineer Intern at Salesforce",loganclarkGGNTG@gmail.comEmail ID
Jamie Hall,University of Texas at Austin,Information Systems,2030,"NLP, Data Analysis, Go, Scala, Rust, Docker Swarm",Startup Founder,Research Assistant in AI Lab,jamiehallBVJAI@gmail.comEmail ID
Blake Hall,Carnegie Mellon University,Computer Science,2030,"GraphQL, AWS, Machine Learning, Data Analysis, CSS, Kubernetes","Innovation Grant Recipient, Robotics Competition Winner","Cloud Engineer Intern at Salesforce, Data Analyst Intern at Oracle",blakehallDLVYC@gmail.comEmail ID
Cameron Hall,UCLA,Information Systems,2025,"NLP, C++, GraphQL, Go, CSS",Conference Speaker,Software Developer Intern at Adobe,cameronhallCIQVE@gmail.comEmail ID
Taylor Johnson,University of Washington,Bioinformatics,2026,"Data Analysis, Linux, Rust, Node.js, SQL","Hackathon Finalist, Winner of AI Challenge","Data Science Intern at Amazon, Research Assistant in AI Lab",taylorjohnsonAJNAA@gmail.comEmail ID
