Name,University,Major,Graduation Year,Skills,Achievements,Experience,Email ID
Casey Anderson,University of Illinois Urbana-Champaign,Mechanical Engineering,2026,"Kubernetes, C++, Data Analysis, PyTorch, React, Docker","Open Source Contributor, Dean's List, Startup Founder",Robotics Research Intern,caseyandersonHBTQU@gmail.com
Alex Anderson,Carnegie Mellon University,Data Science,2028,"Cybersecurity, Computer Vision, Deep Learning, Blockchain, Cloud Computing",Patent Holder,"Teaching Assistant for CS courses, Data Science Intern at Amazon",alexandersonJKDGN@gmail.com
Sam Anderson,University of Michigan,Electrical Engineering,2026,"NLP, Data Analysis, MATLAB, Python, TensorFlow",Scholarship Recipient,"Intern at Tesla (Autopilot team), Software Engineering Intern at Google",samandersonIMKJQ@gmail.com
Jordan Garcia,UCLA,Computer Science,2025,"Node.js, Machine Learning, C++, Python","Robotics Competition Winner, Published Research Paper, Startup Founder","Software Engineering Intern at Google, Robotics Research Intern",jordangarciaAYVJL@gmail.com
Riley Lee,UC Berkeley,Data Science,2026,"Computer Vision, NLP, Cloud Computing, PyTorch, SQL, TensorFlow, Node.js","Robotics Competition Winner, Internship at FAANG",Software Engineering Intern at Google,rileyleeTTAAS@gmail.com
Avery Martinez,University of Texas at Austin,Robotics,2030,"SQL, Java, Deep Learning, Python, AWS","Startup Founder, Internship at FAANG, Robotics Competition Winner","Machine Learning Intern at Meta, Teaching Assistant for CS courses",averymartinezOHGDX@gmail.com
Alex Lee,MIT,Computer Science,2028,"Data Analysis, Blockchain, SQL, Cloud Computing, Java, MATLAB, Python","Scholarship Recipient, Open Source Contributor",Intern at Tesla (Autopilot team),alexleeJEIMX@gmail.com
Cameron Brown,University of Illinois Urbana-Champaign,Bioinformatics,2029,"Node.js, MATLAB, Kubernetes, PyTorch, TensorFlow","Conference Speaker, Startup Founder, Robotics Competition Winner",Research Assistant in AI Lab,cameronbrownOOIGN@gmail.com
Casey Davis,MIT,Information Systems,2025,"C++, Data Analysis, Java, Blockchain, AWS, React, Node.js","Scholarship Recipient, Published Research Paper",Cybersecurity Intern at Microsoft,caseydavisYOMAA@gmail.com
Taylor Smith,Princeton University,Information Systems,2030,"React, Computer Vision, Cloud Computing, Data Analysis",Hackathon Winner,Cybersecurity Intern at Microsoft,taylorsmithUHGQK@gmail.com
Riley Williams,University of Washington,Mechanical Engineering,2025,"C++, Python, TensorFlow, Blockchain",Internship at FAANG,Data Science Intern at Amazon,rileywilliamsVRXJF@gmail.com
Jamie Johnson,Stanford University,Computer Science,2027,"Java, TensorFlow, Docker, Cybersecurity, Deep Learning","Dean's List, Published Research Paper, Startup Founder","Intern at Tesla (Autopilot team), Cloud Engineer Intern at IBM",jamiejohnsonGSZTQ@gmail.com
Sam Davis,MIT,Computer Science,2027,"Docker, AWS, Blockchain, SQL, Python, Java","Startup Founder, Hackathon Winner, Internship at FAANG",Startup Co-Founder (Tech Product),samdavisQLPWZ@gmail.com
Taylor Brown,UC Berkeley,Artificial Intelligence,2026,"SQL, AWS, React, Deep Learning, MATLAB, C++","Open Source Contributor, Robotics Competition Winner",Cybersecurity Intern at Microsoft,taylorbrownUFFNN@gmail.com
Cameron Davis,Purdue University,Electrical Engineering,2030,"NLP, Cybersecurity, Node.js, SQL, Java, MATLAB","Published Research Paper, Conference Speaker, Startup Founder",Startup Co-Founder (Tech Product),camerondavisIMKAY@gmail.com
Alex Garcia,University of Illinois Urbana-Champaign,Robotics,2025,"Cybersecurity, Computer Vision, SQL, NLP","Hackathon Winner, Robotics Competition Winner",Cybersecurity Intern at Microsoft,alexgarciaEAJCW@gmail.com
Morgan Johnson,Harvard University,Software Engineering,2030,"Cybersecurity, SQL, Java, Deep Learning","Scholarship Recipient, Hackathon Winner, Published Research Paper",Cloud Engineer Intern at IBM,morganjohnsonDRMTK@gmail.com
Alex Smith,Harvard University,Artificial Intelligence,2030,"Blockchain, React, Docker, AWS, SQL, Machine Learning",Robotics Competition Winner,"Intern at Tesla (Autopilot team), Startup Co-Founder (Tech Product)",alexsmithBVAZU@gmail.com
Taylor Johnson,MIT,Bioinformatics,2028,"Docker, React, Java, Machine Learning, AWS, NLP","Dean's List, Conference Speaker",Software Engineering Intern at Google,taylorjohnsonZIHEZ@gmail.com
Cameron Williams,UC Berkeley,Information Systems,2028,"Python, Machine Learning, React, Deep Learning, NLP, Node.js","Hackathon Winner, Dean's List",Machine Learning Intern at Meta,cameronwilliamsZSKZH@gmail.com
Jordan Martinez,MIT,Data Science,2027,"Python, SQL, PyTorch, AWS, Cloud Computing","Conference Speaker, Hackathon Winner, Open Source Contributor",Software Engineering Intern at Google,jordanmartinezQWHGK@gmail.com
Morgan Johnson,Carnegie Mellon University,Mechanical Engineering,2029,"Data Analysis, AWS, SQL, PyTorch, Cybersecurity, Node.js, Docker","Startup Founder, Open Source Contributor, Conference Speaker","Robotics Research Intern, Cybersecurity Intern at Microsoft",morganjohnsonPQALK@gmail.com
Casey Davis,Georgia Tech,Computer Science,2027,"Docker, Blockchain, Deep Learning, Java, MATLAB, NLP, AWS","Hackathon Winner, Patent Holder, Internship at FAANG",Cloud Engineer Intern at IBM,caseydavisPNUCE@gmail.com
Sam Davis,Princeton University,Artificial Intelligence,2030,"Deep Learning, Cybersecurity, Computer Vision, PyTorch, React, Cloud Computing","Scholarship Recipient, Startup Founder","Research Assistant in AI Lab, Machine Learning Intern at Meta",samdavisQPALX@gmail.com
Jordan Davis,University of Texas at Austin,Information Systems,2026,"Node.js, SQL, NLP, MATLAB, Machine Learning",Internship at FAANG,Software Engineering Intern at Google,jordandavisXEDBO@gmail.com
Sam Lee,Caltech,Bioinformatics,2026,"Computer Vision, MATLAB, TensorFlow, React, Cloud Computing, Python",Robotics Competition Winner,"Cloud Engineer Intern at IBM, Data Science Intern at Amazon",samleeZNWFR@gmail.com
Taylor Anderson,Princeton University,Computer Science,2027,"Cybersecurity, Blockchain, Java, Cloud Computing, SQL, Machine Learning","Open Source Contributor, Internship at FAANG, Hackathon Winner",Intern at Tesla (Autopilot team),taylorandersonQMUTA@gmail.com
Riley Williams,University of Michigan,Data Science,2027,"Python, Blockchain, Computer Vision, AWS, Java, TensorFlow",Published Research Paper,"Cybersecurity Intern at Microsoft, Research Assistant in AI Lab",rileywilliamsZMRRV@gmail.com
Avery Brown,Purdue University,Cybersecurity,2030,"PyTorch, SQL, MATLAB, TensorFlow, AWS, C++, Kubernetes",Published Research Paper,"Data Science Intern at Amazon, Research Assistant in AI Lab",averybrownOIZAZ@gmail.com
Avery Garcia,Princeton University,Cybersecurity,2030,"PyTorch, Java, Python, Cloud Computing, Deep Learning, Node.js, Computer Vision","Startup Founder, Patent Holder, Robotics Competition Winner",Startup Co-Founder (Tech Product),averygarciaPKWRZ@gmail.com
Jordan Miller,University of Texas at Austin,Information Systems,2027,"PyTorch, AWS, Blockchain, MATLAB","Open Source Contributor, Hackathon Winner, Startup Founder","Machine Learning Intern at Meta, Startup Co-Founder (Tech Product)",jordanmillerKAGBY@gmail.com
Jamie Johnson,University of Michigan,Artificial Intelligence,2026,"Blockchain, TensorFlow, Data Analysis, Python","Scholarship Recipient, Dean's List","Data Science Intern at Amazon, Software Engineering Intern at Google",jamiejohnsonUJNIF@gmail.com
Jordan Garcia,University of Michigan,Software Engineering,2026,"Java, NLP, PyTorch, AWS",Dean's List,Teaching Assistant for CS courses,jordangarciaSPBZM@gmail.com
Casey Davis,UCLA,Mechanical Engineering,2025,"AWS, SQL, Machine Learning, Kubernetes, Computer Vision, Docker, React","Dean's List, Published Research Paper, Scholarship Recipient","Robotics Research Intern, Software Engineering Intern at Google",caseydavisQJCQD@gmail.com
Casey Garcia,Georgia Tech,Artificial Intelligence,2030,"Data Analysis, React, AWS, C++, Cloud Computing","Dean's List, Robotics Competition Winner","Teaching Assistant for CS courses, Machine Learning Intern at Meta",caseygarciaSNMRV@gmail.com
Jordan Lee,University of Texas at Austin,Software Engineering,2030,"Java, PyTorch, MATLAB, Cybersecurity",Conference Speaker,Cloud Engineer Intern at IBM,jordanleeZYLWJ@gmail.com
Avery Garcia,University of Illinois Urbana-Champaign,Mechanical Engineering,2030,"Deep Learning, Docker, MATLAB, NLP, Cybersecurity, Blockchain, AWS","Internship at FAANG, Hackathon Winner, Published Research Paper",Machine Learning Intern at Meta,averygarciaCHMTP@gmail.com
Cameron Miller,Stanford University,Data Science,2029,"Blockchain, MATLAB, Deep Learning, Machine Learning","Open Source Contributor, Published Research Paper, Scholarship Recipient","Teaching Assistant for CS courses, Cloud Engineer Intern at IBM",cameronmillerEGCUA@gmail.com
Alex Johnson,University of Michigan,Robotics,2028,"NLP, Kubernetes, TensorFlow, Machine Learning",Patent Holder,Intern at Tesla (Autopilot team),alexjohnsonPDMPY@gmail.com
Avery Davis,University of Michigan,Mechanical Engineering,2026,"SQL, NLP, Python, Java",Startup Founder,"Teaching Assistant for CS courses, Cybersecurity Intern at Microsoft",averydavisBILWS@gmail.com
Avery Brown,Cornell University,Artificial Intelligence,2030,"Kubernetes, Deep Learning, TensorFlow, NLP, Blockchain, Python","Hackathon Winner, Conference Speaker, Robotics Competition Winner",Research Assistant in AI Lab,averybrownCRWTW@gmail.com
Jamie Johnson,University of Illinois Urbana-Champaign,Electrical Engineering,2025,"React, Cybersecurity, Node.js, PyTorch, SQL","Internship at FAANG, Dean's List, Patent Holder","Data Science Intern at Amazon, Research Assistant in AI Lab",jamiejohnsonWERQZ@gmail.com
Cameron Miller,UC Berkeley,Data Science,2025,"Deep Learning, C++, Docker, SQL, Cloud Computing, Machine Learning","Dean's List, Published Research Paper",Startup Co-Founder (Tech Product),cameronmillerSETZM@gmail.com
Alex Johnson,Princeton University,Mechanical Engineering,2025,"Computer Vision, TensorFlow, Python, Data Analysis, Java, Deep Learning","Robotics Competition Winner, Published Research Paper","Robotics Research Intern, Startup Co-Founder (Tech Product)",alexjohnsonIXBOR@gmail.com
Jamie Anderson,Purdue University,Artificial Intelligence,2027,"Computer Vision, Java, Node.js, Kubernetes, Docker","Patent Holder, Robotics Competition Winner, Startup Founder",Startup Co-Founder (Tech Product),jamieandersonUWPTM@gmail.com
Alex Johnson,MIT,Software Engineering,2030,"NLP, Data Analysis, Python, AWS","Hackathon Winner, Open Source Contributor","Startup Co-Founder (Tech Product), Research Assistant in AI Lab",alexjohnsonKGMFI@gmail.com
Taylor Anderson,University of Michigan,Mechanical Engineering,2027,"MATLAB, Data Analysis, AWS, Cloud Computing, C++, TensorFlow",Hackathon Winner,Research Assistant in AI Lab,taylorandersonXSDGK@gmail.com
Taylor Brown,MIT,Software Engineering,2028,"Cybersecurity, Deep Learning, AWS, Python",Open Source Contributor,"Research Assistant in AI Lab, Cloud Engineer Intern at IBM",taylorbrownLMTCJ@gmail.com
Riley Williams,Purdue University,Software Engineering,2025,"Node.js, React, TensorFlow, Java, Computer Vision, PyTorch, AWS","Internship at FAANG, Dean's List, Patent Holder",Startup Co-Founder (Tech Product),rileywilliamsJCBWN@gmail.com
Jamie Brown,Cornell University,Data Science,2029,"SQL, TensorFlow, Machine Learning, Cloud Computing, Java, PyTorch, Deep Learning","Patent Holder, Open Source Contributor","Teaching Assistant for CS courses, Software Engineering Intern at Google",jamiebrownGNSXI@gmail.com
Morgan Williams,Caltech,Software Engineering,2026,"MATLAB, Computer Vision, AWS, Node.js, SQL, NLP","Robotics Competition Winner, Internship at FAANG, Hackathon Winner",Intern at Tesla (Autopilot team),morganwilliamsCQYFL@gmail.com
Jamie Brown,University of Michigan,Mechanical Engineering,2029,"Deep Learning, Machine Learning, Cloud Computing, React, Node.js, TensorFlow","Published Research Paper, Internship at FAANG, Open Source Contributor",Research Assistant in AI Lab,jamiebrownGHBAR@gmail.com
Riley Garcia,Princeton University,Mechanical Engineering,2028,"Cloud Computing, SQL, NLP, Blockchain, C++, Cybersecurity, Node.js","Patent Holder, Startup Founder, Open Source Contributor",Teaching Assistant for CS courses,rileygarciaZLPHZ@gmail.com
Cameron Davis,Harvard University,Computer Science,2028,"Docker, Python, Deep Learning, TensorFlow, Blockchain","Scholarship Recipient, Open Source Contributor, Published Research Paper",Cybersecurity Intern at Microsoft,camerondavisFTKUS@gmail.com
Cameron Williams,University of Michigan,Robotics,2026,"Java, Machine Learning, Blockchain, Cloud Computing, PyTorch","Scholarship Recipient, Hackathon Winner, Open Source Contributor","Data Science Intern at Amazon, Teaching Assistant for CS courses",cameronwilliamsONJFO@gmail.com
Casey Martinez,Stanford University,Robotics,2029,"Kubernetes, React, MATLAB, Python, TensorFlow, Deep Learning","Internship at FAANG, Patent Holder",Cloud Engineer Intern at IBM,caseymartinezAXWZB@gmail.com
Casey Martinez,UCLA,Cybersecurity,2027,"Computer Vision, NLP, Data Analysis, MATLAB, Java, Deep Learning, Kubernetes","Patent Holder, Open Source Contributor","Robotics Research Intern, Data Science Intern at Amazon",caseymartinezRPEAX@gmail.com
Alex Johnson,Cornell University,Computer Science,2028,"C++, Kubernetes, Cybersecurity, NLP, AWS, React, Node.js",Conference Speaker,"Research Assistant in AI Lab, Machine Learning Intern at Meta",alexjohnsonJFDXJ@gmail.com
Jamie Smith,Caltech,Data Science,2026,"Computer Vision, PyTorch, Cybersecurity, Cloud Computing, AWS, Deep Learning","Robotics Competition Winner, Open Source Contributor, Dean's List","Teaching Assistant for CS courses, Research Assistant in AI Lab",jamiesmithUEJCW@gmail.com
Sam Davis,UCLA,Data Science,2027,"Deep Learning, Data Analysis, NLP, Java, PyTorch, C++",Open Source Contributor,"Software Engineering Intern at Google, Robotics Research Intern",samdavisTDFTO@gmail.com
Casey Williams,MIT,Bioinformatics,2025,"SQL, Machine Learning, Python, React","Dean's List, Scholarship Recipient","Robotics Research Intern, Intern at Tesla (Autopilot team)",caseywilliamsFFWCI@gmail.com
Riley Davis,UC Berkeley,Robotics,2025,"TensorFlow, PyTorch, Computer Vision, Cybersecurity",Startup Founder,Startup Co-Founder (Tech Product),rileydavisKPJUW@gmail.com
Casey Miller,University of Washington,Computer Science,2029,"React, AWS, Java, Machine Learning",Dean's List,"Cybersecurity Intern at Microsoft, Intern at Tesla (Autopilot team)",caseymillerTBFBS@gmail.com
Riley Brown,Princeton University,Robotics,2029,"Docker, Machine Learning, TensorFlow, Python, AWS","Published Research Paper, Hackathon Winner",Cloud Engineer Intern at IBM,rileybrownQCLIG@gmail.com
Morgan Martinez,MIT,Electrical Engineering,2030,"TensorFlow, Python, PyTorch, Computer Vision",Conference Speaker,"Cybersecurity Intern at Microsoft, Research Assistant in AI Lab",morganmartinezHQIJN@gmail.com
Alex Brown,Princeton University,Cybersecurity,2025,"Machine Learning, PyTorch, Docker, Blockchain, SQL","Patent Holder, Scholarship Recipient, Startup Founder","Robotics Research Intern, Data Science Intern at Amazon",alexbrownQWPRB@gmail.com
Cameron Johnson,Stanford University,Cybersecurity,2028,"C++, Computer Vision, Data Analysis, Kubernetes, Blockchain, PyTorch, React","Startup Founder, Conference Speaker","Cloud Engineer Intern at IBM, Software Engineering Intern at Google",cameronjohnsonHOZRG@gmail.com
Casey Martinez,University of Washington,Information Systems,2025,"Data Analysis, Kubernetes, Node.js, Deep Learning","Published Research Paper, Dean's List, Scholarship Recipient",Cybersecurity Intern at Microsoft,caseymartinezZIPJE@gmail.com
Morgan Smith,University of Michigan,Information Systems,2025,"Cloud Computing, MATLAB, SQL, TensorFlow, Java",Robotics Competition Winner,Machine Learning Intern at Meta,morgansmithVPWYE@gmail.com
Morgan Garcia,Princeton University,Data Science,2026,"C++, SQL, MATLAB, Data Analysis, Machine Learning, AWS, PyTorch","Startup Founder, Hackathon Winner, Open Source Contributor","Machine Learning Intern at Meta, Cloud Engineer Intern at IBM",morgangarciaPNZXY@gmail.com
Jamie Miller,University of Michigan,Artificial Intelligence,2025,"Cybersecurity, Cloud Computing, SQL, Node.js, Docker, C++",Hackathon Winner,Intern at Tesla (Autopilot team),jamiemillerTVWVQ@gmail.com
Alex Lee,Caltech,Data Science,2025,"Data Analysis, Python, Deep Learning, C++, Kubernetes","Internship at FAANG, Scholarship Recipient",Data Science Intern at Amazon,alexleeIOCAQ@gmail.com
Riley Martinez,UCLA,Cybersecurity,2029,"Cybersecurity, PyTorch, Machine Learning, C++, AWS, SQL, Docker",Robotics Competition Winner,"Cybersecurity Intern at Microsoft, Software Engineering Intern at Google",rileymartinezEKMMW@gmail.com
Avery Lee,Harvard University,Electrical Engineering,2028,"Python, Kubernetes, SQL, Cybersecurity","Dean's List, Published Research Paper, Conference Speaker","Robotics Research Intern, Cloud Engineer Intern at IBM",averyleeZBRZD@gmail.com
Casey Johnson,Princeton University,Artificial Intelligence,2027,"Cybersecurity, Python, Computer Vision, NLP, Deep Learning, React, AWS","Internship at FAANG, Scholarship Recipient, Conference Speaker",Cybersecurity Intern at Microsoft,caseyjohnsonNPDKN@gmail.com
Sam Lee,University of Washington,Mechanical Engineering,2028,"Docker, MATLAB, Blockchain, Computer Vision, TensorFlow, C++","Hackathon Winner, Startup Founder","Teaching Assistant for CS courses, Intern at Tesla (Autopilot team)",samleeKJFUZ@gmail.com
Avery Smith,University of Michigan,Software Engineering,2026,"Computer Vision, SQL, Cybersecurity, Python, Java, MATLAB",Startup Founder,Robotics Research Intern,averysmithLPDGV@gmail.com
Jordan Smith,University of Illinois Urbana-Champaign,Artificial Intelligence,2028,"Deep Learning, Blockchain, Data Analysis, Cybersecurity",Scholarship Recipient,"Startup Co-Founder (Tech Product), Machine Learning Intern at Meta",jordansmithLIEQO@gmail.com
Jamie Davis,University of Illinois Urbana-Champaign,Mechanical Engineering,2028,"Machine Learning, MATLAB, Computer Vision, Docker, Data Analysis","Published Research Paper, Scholarship Recipient","Cloud Engineer Intern at IBM, Data Science Intern at Amazon",jamiedavisAQJNJ@gmail.com
Jordan Martinez,Carnegie Mellon University,Cybersecurity,2027,"Deep Learning, MATLAB, Data Analysis, Cybersecurity","Dean's List, Conference Speaker, Patent Holder",Robotics Research Intern,jordanmartinezTZPCR@gmail.com
Jamie Smith,Harvard University,Information Systems,2025,"Blockchain, Cloud Computing, TensorFlow, NLP, Node.js",Published Research Paper,"Machine Learning Intern at Meta, Cybersecurity Intern at Microsoft",jamiesmithJDQUJ@gmail.com
Morgan Smith,Caltech,Computer Science,2028,"Cloud Computing, C++, Deep Learning, Computer Vision, Node.js","Hackathon Winner, Robotics Competition Winner, Dean's List","Cloud Engineer Intern at IBM, Robotics Research Intern",morgansmithJKXIF@gmail.com
Sam Miller,Georgia Tech,Information Systems,2030,"Python, Data Analysis, React, TensorFlow",Scholarship Recipient,"Robotics Research Intern, Startup Co-Founder (Tech Product)",sammillerESMYS@gmail.com
Avery Williams,UC Berkeley,Mechanical Engineering,2028,"Blockchain, Node.js, Data Analysis, NLP","Hackathon Winner, Patent Holder","Startup Co-Founder (Tech Product), Research Assistant in AI Lab",averywilliamsUJPVC@gmail.com
Sam Smith,University of Texas at Austin,Software Engineering,2026,"Python, Java, Data Analysis, Node.js",Internship at FAANG,Cloud Engineer Intern at IBM,samsmithYPVZN@gmail.com
Jordan Smith,Purdue University,Data Science,2029,"React, MATLAB, Blockchain, C++, Node.js, Deep Learning","Dean's List, Robotics Competition Winner",Software Engineering Intern at Google,jordansmithNXCEX@gmail.com
Sam Garcia,Purdue University,Mechanical Engineering,2029,"Cloud Computing, Node.js, PyTorch, NLP","Startup Founder, Published Research Paper",Intern at Tesla (Autopilot team),samgarciaIHTCZ@gmail.com
Jordan Miller,UCLA,Artificial Intelligence,2027,"Blockchain, TensorFlow, Java, MATLAB, Kubernetes",Hackathon Winner,Startup Co-Founder (Tech Product),jordanmillerCXVZM@gmail.com
Sam Williams,University of Illinois Urbana-Champaign,Artificial Intelligence,2026,"Data Analysis, Machine Learning, AWS, SQL","Scholarship Recipient, Robotics Competition Winner, Dean's List",Cybersecurity Intern at Microsoft,samwilliamsULZPD@gmail.com
Jordan Johnson,University of Michigan,Artificial Intelligence,2029,"Node.js, AWS, Deep Learning, MATLAB, SQL, TensorFlow, PyTorch",Dean's List,"Data Science Intern at Amazon, Machine Learning Intern at Meta",jordanjohnsonRISEK@gmail.com
Jordan Anderson,University of Michigan,Data Science,2029,"PyTorch, TensorFlow, Data Analysis, Cloud Computing, C++, Python",Scholarship Recipient,"Cybersecurity Intern at Microsoft, Data Science Intern at Amazon",jordanandersonRONTJ@gmail.com
Riley Martinez,MIT,Bioinformatics,2026,"AWS, Cybersecurity, MATLAB, Blockchain","Hackathon Winner, Internship at FAANG",Cybersecurity Intern at Microsoft,rileymartinezLZNGN@gmail.com
Avery Miller,Harvard University,Computer Science,2029,"C++, Machine Learning, Python, NLP, Deep Learning, SQL",Patent Holder,"Teaching Assistant for CS courses, Data Science Intern at Amazon",averymillerVGFYB@gmail.com
Casey Garcia,Harvard University,Software Engineering,2030,"PyTorch, TensorFlow, Blockchain, AWS, Cybersecurity","Dean's List, Published Research Paper, Startup Founder","Robotics Research Intern, Startup Co-Founder (Tech Product)",caseygarciaDAFPR@gmail.com
Taylor Williams,Carnegie Mellon University,Mechanical Engineering,2028,"Data Analysis, C++, SQL, Deep Learning",Conference Speaker,Robotics Research Intern,taylorwilliamsCXAOV@gmail.com
Morgan Miller,Princeton University,Computer Science,2027,"Deep Learning, Machine Learning, SQL, Docker, C++, React",Robotics Competition Winner,"Cybersecurity Intern at Microsoft, Software Engineering Intern at Google",morganmillerPLOOQ@gmail.com
Taylor Martinez,University of Michigan,Computer Science,2025,"Cloud Computing, Cybersecurity, Python, Docker, Machine Learning","Startup Founder, Internship at FAANG, Conference Speaker","Software Engineering Intern at Google, Teaching Assistant for CS courses",taylormartinezHERMV@gmail.com
Jordan Garcia,Georgia Tech,Software Engineering,2025,"NLP, Docker, PyTorch, Machine Learning",Patent Holder,"Robotics Research Intern, Startup Co-Founder (Tech Product)",jordangarciaAIWKD@gmail.com
Sam Miller,University of Washington,Electrical Engineering,2026,"Node.js, Deep Learning, React, Kubernetes, Machine Learning",Patent Holder,Startup Co-Founder (Tech Product),sammillerWYBFN@gmail.com
Avery Smith,Georgia Tech,Data Science,2029,"React, Java, AWS, MATLAB","Scholarship Recipient, Startup Founder",Data Science Intern at Amazon,averysmithAHWYQ@gmail.com
Jamie Anderson,Princeton University,Mechanical Engineering,2025,"Cloud Computing, Computer Vision, React, Docker","Conference Speaker, Hackathon Winner, Robotics Competition Winner","Startup Co-Founder (Tech Product), Intern at Tesla (Autopilot team)",jamieandersonGCRCF@gmail.com
Cameron Anderson,Harvard University,Software Engineering,2028,"Data Analysis, Python, Java, AWS","Patent Holder, Internship at FAANG",Research Assistant in AI Lab,cameronandersonORYBQ@gmail.com
Riley Smith,MIT,Software Engineering,2027,"Blockchain, AWS, PyTorch, Data Analysis","Published Research Paper, Conference Speaker, Startup Founder",Intern at Tesla (Autopilot team),rileysmithUGKYO@gmail.com
Sam Lee,MIT,Computer Science,2028,"PyTorch, NLP, Cybersecurity, C++","Patent Holder, Hackathon Winner, Scholarship Recipient","Startup Co-Founder (Tech Product), Cloud Engineer Intern at IBM",samleeYRTYW@gmail.com
Jamie Smith,University of Illinois Urbana-Champaign,Information Systems,2027,"SQL, TensorFlow, Python, Data Analysis, C++","Hackathon Winner, Conference Speaker","Teaching Assistant for CS courses, Intern at Tesla (Autopilot team)",jamiesmithKNEQR@gmail.com
Jordan Johnson,University of Washington,Electrical Engineering,2028,"Cybersecurity, Cloud Computing, PyTorch, Machine Learning, Node.js",Conference Speaker,Research Assistant in AI Lab,jordanjohnsonVHTIQ@gmail.com
Jordan Martinez,Harvard University,Cybersecurity,2029,"Java, MATLAB, Cybersecurity, Python, Machine Learning",Hackathon Winner,"Teaching Assistant for CS courses, Research Assistant in AI Lab",jordanmartinezBMJSK@gmail.com
Casey Smith,Stanford University,Computer Science,2027,"C++, Cybersecurity, SQL, Computer Vision, Node.js, Data Analysis","Open Source Contributor, Startup Founder, Robotics Competition Winner","Cloud Engineer Intern at IBM, Robotics Research Intern",caseysmithZWSJK@gmail.com
Alex Smith,Harvard University,Information Systems,2027,"C++, Computer Vision, NLP, Docker, Blockchain, AWS, PyTorch",Conference Speaker,"Startup Co-Founder (Tech Product), Intern at Tesla (Autopilot team)",alexsmithSODES@gmail.com
Avery Williams,University of Washington,Data Science,2029,"Node.js, Deep Learning, Computer Vision, React","Patent Holder, Published Research Paper, Startup Founder",Startup Co-Founder (Tech Product),averywilliamsKFVOA@gmail.com
Taylor Lee,University of Michigan,Cybersecurity,2028,"Computer Vision, NLP, TensorFlow, Kubernetes",Open Source Contributor,Intern at Tesla (Autopilot team),taylorleeWIFHB@gmail.com
Morgan Martinez,Cornell University,Electrical Engineering,2026,"React, Docker, SQL, NLP",Robotics Competition Winner,Cloud Engineer Intern at IBM,morganmartinezLGPIB@gmail.com
Jamie Davis,Georgia Tech,Bioinformatics,2030,"Python, MATLAB, SQL, Deep Learning",Published Research Paper,Intern at Tesla (Autopilot team),jamiedavisVLSZN@gmail.com
